id,date,text,user,hashtags
1,2025-10-19,"Ya es oficial: @Rodrigo_PazP gana las elecciones a @tutoquiroga en Bolivia. Felicitar al nuevo presidente y ojalá que el socialismo se vaya para siempre.","javiernegre10",""
2,2025-10-19,"🇧🇴 | URGENTE: EL RECUENTO OFICIAL PRELIMINAR DE LAS ELECCIONES EN BOLIVIA MUESTRA QUE RODRIGO PAZ GANA LA SEGUNDA VUELTA PRESIDENCIAL.","AlertaNews24",""
3,2025-10-19,"#SegundaVuelta2025 I 🗳️🇧🇴 Instalación de la Sala Plena del Tribunal Supremo Electoral para Cómputo oficial Voto en el Exterior - Elecciones Generales 2025. #TSEBolivia #SegundaVueltaBolivia #SeguimosConstruyendoDemocracia https://www.facebook.com/TSEBolivia/videos/805456535672465/","TSEBolivia","#SegundaVuelta2025, #TSEBolivia, #SegundaVueltaBolivia, #SeguimosConstruyendoDemocracia"
4,2025-10-19,"Rodrigo Paz gana las elecciones en Bolivia en segunda vuelta.","Ldteran",""
5,2025-10-19,"ELECCIONES EN BOLIVIA 🇧🇴  RODRIGO PAZ PEREIRA GANO LAS ELECCIONES.","Hegemony_News",""
6,2025-10-19,"Espero que paz no destruya al país , espero que no lo haga retroceder más y com dolor en mi alma , tuto Quiroga ha perdido las elecciones en Bolivia","FDR1944_",""
7,2025-10-19,"🇧🇴 | #URGENTE El populista de centroderecha Rodrigo Paz ganó las elecciones de Bolivia y será el primer presidente boliviano no izquierdista desde 2006, poniendo fin a casi 20 años del narco socialismo de Evo Morales y Luis Arce.","laderechadiario","#URGENTE"
8,2025-10-19,"#MarqueYaLNMLP de @LasNoticiasMLP Elecciones Presidenciales Bolivia 2025 Comenzó los cómputos de votos, sin embargo hubo hackeos y cortes eléctricos para evitar caer el SIREPRE para conocer los resultados. En otras noticias, hackearon el Facebook de Vice. Comunicación.","CTransgresor03","#MarqueYaLNMLP"
9,2025-10-19,"Empezó la guerra d desinformación en X, d las elecciones d 2da vuelta de Bolivia, lo bueno es q los zurdos no tendrán nada q celebrar gane quien gane d los dos, dos demócratas d centro con programas claros de gobierno, paz promete más federalismo y Quiroga Revolución educativa","salazarcesars",""
10,2025-10-19,"Rodrigo Paz gana las elecciones en Bolivia.","jesua11_",""
11,2025-10-19,"🇧🇴 I #AHORA Al 97% del escrutinio oficial, estos son los resultados de las elecciones presidenciales en #Bolivia: 🔵 Rodrigo Paz - 54,53% 🔴 Jorge “Tuto” Quiroga - 45,47%","MiguelVelarde","#AHORA, #Bolivia"
12,2025-10-19,"Ya se están viendo los resultados de la política de #Trump en #latinoamerica, por fin habrá cambio de gobierno en #Bolivia. No se pudieron robar las elecciones esta vez.","CLK200a","#Trump, #latinoamerica, #Bolivia"
13,2025-10-19,"RODRIGO Y LARA GANAN LAS ELECCIONES Bolivia ya eligió Gobernarán a Bolivia por cinco años","JimenaAnteloT",""
14,2025-10-19,"¿Están viendo la hora en la que dan los resultados de las elecciones en bolivia? Por lo menos algo de decencia se le ve a esas instituciones Acá en Venezuela, con 'el sistema más seguro del mundo' hay que esperar hasta la 1 am después de un apagón y todo el fraude","jsubero7",""
15,2025-10-19,"EN VIVO - Maria Oropeza es Generación Independencia - Petro llevando a Colombia al abismo - Elecciones Bolivia 2026 #GeneraciónIndependencia @chacocma @hacemosguarimba https://twitter.com/i/broadcasts/1yoJMPlkkApGQ","GastonLevar","#GeneraciónIndependencia"
16,2025-10-19,"Para no caer en la desinformación, aquí en este enlace, que les dejo abajo, pueden seguir los cómputos en vivo de los resultados de las elecciones de Bolivia. No crean,  que no me da algo de envidia.🤭🤭 https://computo.oep.org.bo/","SoyKateCristina",""
17,2025-10-19,"Aquí está la clave del resultado de las elecciones en #Bolivia. Guste o no guste la gente en las zonas rurales del país votó ampliamente por Rodrigo Paz.","BlueDragon3285","#Bolivia"
18,2025-10-19,"🗳🇧🇴 Elecciones en Bolivia: GANO PAZ 🚨 🟢 R.Paz (PDC): 3.381.608 (54,49%) ✅️ ⚫️ J.Quiroga (LIBRE): 2.762.612 (45,51%)","Informa3Chile",""
19,2025-10-19,"@grok quien ganó las elecciones en Bolivia?","AdanHarum",""
20,2025-10-19,"🚨 Bolivia | Rodrigo Paz Pereira (PDC), se habría impuesto con el 53% de los votos ante Jorge Quiroga Ramirez (LIBRE) con el 47% en la segunda vuelta de las Elecciones Generales, con más de un 90% de mesas registradas en el Sistema de Resultados Preeliminares","VozMediaUSA",""
21,2025-10-19,"🅾️🅿️ #Último #Elecciones2025 #Balotaje Rodrigo Paz y Edmand Lara son virtuales ganadores de las elecciones 2025 tras un histórico balotaje celebrado este 19 de octubre. 🌐 https://www.opinion.com.bo/","Opinion_Bolivia","#Último, #Elecciones2025, #Balotaje"
22,2025-10-19,"Están en elecciones en Bolivia?","YituVZ",""
