id,date,text,user,hashtags
1,2025-10-18,"🚨 ¡ÚLTIMA HORA BOLIVIA! 🚨 🇧🇴 LO ÚLTIMO 🚨 Según Polymarket 🇺🇸 el mercado de predicciones más grande del mundo, Jorge “Tuto” Quiroga tiene un 53% de posibilidades de ganar las elecciones presidenciales bolivianas este domingo.","DIFUNDELOYA",""
2,2025-10-18,"Interesante que la UE esté metida en Bolivia tratando de que embarrar la cancha justo con las elecciones en un momento de altísima sensibilidad, más que nada siendo que del lado opositor a la derecha está la Izquierda Narco..","DesignRandazzo",""
3,2025-10-18,"@soyfdelrincon BIENVENIDO FERNNADO A BOLIVIA..AUNQUE LA VERDAD, ES UNA EPOCA MUY TRISTE EN LA QUE ESTAS..Y NO POR LAS ELECCIONES COMO TAL .SINO POR QUE PODRAS VER CON TUS PROPIOS OJOS LA TRISTE IDIOLOGIA QUE ENVUELVE  A NUESTRO PAIS......","itsnotfair486",""
4,2025-10-18,"#Bolivia “Mientras los bolivianos se preparan para votar en las elecciones presidenciales del domingo, el CPJ urge al candidato vencedor a comprometerse firmemente con la libertad de prensa y a respetar y proteger el trabajo de los periodistas del país. En esta coyuntura crítica, el próximo líder de Bolivia debe tomar medidas decisivas para combatir la impunidad en los crímenes contra los periodistas y aplicar todas las medidas necesarias para garantizar un periodismo libre, independiente y seguro.” - Cristina Zahar, CPJ","CPJAmericas","#Bolivia"
5,2025-10-18,"Elecciones generales de Bolivia de 2025 Bolivian presidential election, runoff Current trend in the Wahlfieber prediction market for #Elecciones2025: Rodrigo Paz Pereira - 52% Jorge “Tuto” Quiroga - 48% #EleccionPresidencial #EleccionesBolivia2025 #boliviavota2025 This is not yet a definitive prediction. The Wahlfieber prediction market will not close until Sunday. Take part in our survey on X too!    https://t.co/I3cU9PbwwO https://t.co/vuDBjwTFoS","Wahlfieber","#Elecciones2025, #EleccionPresidencial, #EleccionesBolivia2025, #boliviavota2025"
6,2025-10-18,"#ElMundo Bolivia gira a la derecha en elecciones del domingo https://economis.com.ar/bolivia-gira-a-la-derecha-en-elecciones-del-domingo/ @ipsnoticias","economisiones","#ElMundo"
7,2025-10-18,"Elecciones generales de Bolivia de 2025 Bolivian presidential election, runoff Tendencia actual en el mercado de predicciones de Wahlfieber para #Elecciones2025: Rodrigo Paz Pereira - 52% Jorge \"Tuto\" Quiroga - 48% #EleccionPresidencial #EleccionesBolivia2025 #boliviavota2025 Esta no es aún una predicción definitiva.  El mercado de predicciones de Wahlfieber no cerrará hasta el domingo. ¡Participa también en nuestra encuesta en X!    https://t.co/I3cU9PaYHg https://t.co/vuDBjwT7zk","Wahlfieber","#Elecciones2025, #EleccionPresidencial, #EleccionesBolivia2025, #boliviavota2025"
8,2025-10-18,"Reyes Villa confirma la participación de APB-Súmate en las elecciones subnacionales  https://boliviaprensa.com/reportajes/12761-reyes-villa-confirma-la-participacion-de-apb-sumate-en-las-elecciones-subnacionales","boliviaprensa",""
9,2025-10-18,"[Espacio Editorial] Elecciones Presidenciales 2025 | Cobertura especial de El Popular Bolivia 🇧🇴🗳️ Este 19 de octubre, Bolivia vive un balotaje histórico, y todo el equipo de El Popular Bolivia estará desplegado a nivel nacional e internacional para llevarte la cobertura más completa de esta jornada democrática. Desde las 07:00 de la mañana, nuestros corresponsales, periodistas, camarógrafos y reporteros gráficos estarán en los principales puntos del país y en el exterior, mostrando lo más importante de esta votación decisiva. Noticias en tiempo real, análisis, entrevistas y transmisiones en vivo te acompañarán durante toda la jornada, hasta el cierre del día electoral. Sigue las elecciones con nosotros y únete a nuestras redes oficiales: •WhatsApp: https://t.co/XKrAXQQ2F8 Facebook: https://t.co/vH63gvT7oQ Instagram: https://t.co/cbz7EjArxf X / Twitter: https://t.co/h5U80fHs3k TikTok:","popularbolivia",""
10,2025-10-18,"Ocurre un paro, bloqueo o elecciones en Bolivia  La gente en los supermercados: -HAY QUE COMPRAR PAN Y PAPEL","Shinteru_Xilius",""
